receiving country,us state of origin,number
austria,florida,1
canada,florida,21
,illinois,1
,indiana,2
,minnesota,1
,new jersey,1
,south carolina,6
,texas,1
,utah,1
ireland,florida,5
netherlands,california,2
,florida,15
,hawaii,1
,maine,1
,missouri,1
,new jersey,16
,new york,2
swirzerland,florida,2
tanzania,california,1
united kingdom,florida,1
,missouri,1
